Date,Power (MW),LMP,Battery Charge,power_binned,lmp_binned,charge_binned,policy
2022-01-01 00:15:00,32.29010874594594,54.39,45.0,32.0,17.0,4.0,2.0
2022-01-01 00:30:00,32.08107643243243,127.4,5.0,32.0,32.0,5.0,0.0
2022-01-01 00:45:00,32.776651935135135,42.46,5.0,32.0,15.0,4.0,2.0
2022-01-01 01:00:00,33.16004267027027,36.11,5.0,33.0,14.0,5.0,2.0
2022-01-01 01:15:00,33.43559277837838,33.22,5.0,33.0,13.0,6.0,2.0
2022-01-01 01:30:00,34.64133543783784,32.0,5.0,34.0,13.0,7.0,2.0
2022-01-01 01:45:00,35.27010339459459,34.33,5.0,35.0,13.0,8.0,1.0
2022-01-01 02:00:00,35.88675118918919,31.7,5.0,35.0,13.0,8.0,1.0
2022-01-01 02:15:00,36.518366529729725,30.35,5.0,36.0,13.0,8.0,2.0
2022-01-01 02:30:00,38.09123721081081,25.51,5.0,38.0,12.0,9.0,1.0
2022-01-01 02:45:00,39.93113778378378,23.96,5.0,39.0,11.0,9.0,1.0
2022-01-01 03:00:00,40.72383103783783,23.93,5.0,40.0,11.0,9.0,1.0
2022-01-01 03:15:00,41.79019251891892,23.59,5.0,41.0,11.0,9.0,0.0
2022-01-01 03:30:00,43.02902064864865,22.93,5.0,43.0,11.0,8.0,0.0
2022-01-01 03:45:00,45.53732336216217,22.47,5.0,45.0,11.0,7.0,2.0
2022-01-01 04:00:00,47.66779843243243,21.38,5.0,47.0,11.0,8.0,2.0
2022-01-01 04:15:00,49.74924730810811,8.72,5.0,49.0,8.0,9.0,0.0
2022-01-01 04:30:00,49.70530883243244,13.3,5.0,49.0,9.0,8.0,2.0
2022-01-01 04:45:00,49.55940994594594,20.57,5.0,49.0,11.0,9.0,0.0
2022-01-01 05:00:00,49.05151931891893,21.87,5.0,49.0,11.0,8.0,2.0
2022-01-01 05:15:00,48.68103454054054,22.37,5.0,48.0,11.0,9.0,1.0
2022-01-01 05:30:00,48.88336842162162,15.85,5.0,48.0,10.0,9.0,0.0
2022-01-01 05:45:00,49.27842485405405,2.37,5.0,49.0,7.0,8.0,0.0
2022-01-01 06:00:00,49.37421807567568,13.92,5.0,49.0,9.0,7.0,1.0
2022-01-01 06:15:00,50.03788871351351,7.51,5.0,50.0,8.0,7.0,0.0
2022-01-01 06:30:00,50.66870298378378,4.01,5.0,50.0,7.0,6.0,2.0
2022-01-01 06:45:00,50.23539252972974,14.65,5.0,50.0,9.0,7.0,2.0
2022-01-01 07:00:00,49.41866596756756,19.73,5.0,49.0,10.0,8.0,0.0
2022-01-01 07:15:00,49.47579287567568,19.68,5.0,49.0,10.0,7.0,0.0
2022-01-01 07:30:00,49.5772035891892,9.05,5.0,49.0,8.0,6.0,0.0
2022-01-01 07:45:00,49.1793404972973,1.9,5.0,49.0,7.0,5.0,2.0
2022-01-01 08:00:00,49.29213296216216,14.13,5.0,49.0,9.0,6.0,0.0
2022-01-01 08:15:00,48.23229114594595,20.67,5.0,48.0,11.0,5.0,2.0
2022-01-01 08:30:00,47.217494572972974,19.74,5.0,47.0,10.0,6.0,0.0
2022-01-01 08:45:00,46.333889340540544,0.89,5.0,46.0,7.0,5.0,2.0
2022-01-01 09:00:00,44.87062181621621,-0.01,5.0,44.0,6.0,6.0,2.0
2022-01-01 09:15:00,44.25784421621622,-0.02,5.0,44.0,6.0,7.0,2.0
2022-01-01 09:30:00,44.97154249729729,-0.02,5.0,44.0,6.0,8.0,2.0
2022-01-01 09:45:00,46.46909490810811,-0.05,5.0,46.0,6.0,9.0,1.0
2022-01-01 10:00:00,46.96000011891893,-0.15,5.0,46.0,6.0,9.0,1.0
2022-01-01 10:15:00,46.91798876756757,-0.47,5.0,46.0,6.0,9.0,1.0
2022-01-01 10:30:00,47.49237913513513,-0.64,5.0,47.0,6.0,9.0,1.0
2022-01-01 10:45:00,48.219252129729725,-1.42,5.0,48.0,6.0,9.0,1.0
2022-01-01 11:00:00,47.84966709189189,-1.88,5.0,47.0,6.0,9.0,1.0
2022-01-01 11:15:00,47.854905783783785,-2.81,5.0,47.0,6.0,9.0,1.0
2022-01-01 11:30:00,47.81738201081081,-1.67,5.0,47.0,6.0,9.0,1.0
2022-01-01 11:45:00,48.08328994594594,-1.38,5.0,48.0,6.0,9.0,1.0
2022-01-01 12:00:00,47.63023770810811,-1.15,5.0,47.0,6.0,9.0,1.0
2022-01-01 12:15:00,46.69681935135135,-0.95,5.0,46.0,6.0,9.0,1.0
2022-01-01 12:30:00,45.11846338378378,-0.81,5.0,45.0,6.0,9.0,1.0
2022-01-01 12:45:00,43.03038477837838,-0.37,5.0,43.0,6.0,9.0,0.0
2022-01-01 13:00:00,41.4101133945946,-0.36,5.0,41.0,6.0,8.0,2.0
2022-01-01 13:15:00,40.59177484324324,-0.27,5.0,40.0,6.0,9.0,1.0
2022-01-01 13:30:00,40.25090738378378,0.06,5.0,40.0,7.0,9.0,1.0
2022-01-01 13:45:00,40.57946956756757,0.13,5.0,40.0,7.0,9.0,1.0
2022-01-01 14:00:00,38.922468767567565,0.08,5.0,38.0,7.0,9.0,1.0
2022-01-01 14:15:00,38.06327307027027,0.42,5.0,38.0,7.0,9.0,1.0
2022-01-01 14:30:00,37.95806941621622,0.61,5.0,37.0,7.0,9.0,1.0
2022-01-01 14:45:00,37.89930011891892,0.87,5.0,37.0,7.0,9.0,1.0
2022-01-01 15:00:00,37.78934921081081,0.57,5.0,37.0,7.0,9.0,1.0
2022-01-01 15:15:00,38.01773963243243,0.73,5.0,38.0,7.0,9.0,1.0
2022-01-01 15:30:00,38.41158671351351,1.06,5.0,38.0,7.0,9.0,1.0
2022-01-01 15:45:00,38.409371535135136,0.54,5.0,38.0,7.0,9.0,1.0
2022-01-01 16:00:00,40.15052250810811,0.2,5.0,40.0,7.0,9.0,1.0
2022-01-01 16:15:00,42.5236653945946,0.47,5.0,42.0,7.0,9.0,1.0
